"Node"	"Coverage"
"1+"	"0.953939"
"1-"	"0.953939"
"10+"	"1.01173"
"10-"	"1.01173"
"100+"	"2.11684"
"100-"	"2.11684"
"101+"	"0.416888"
"101-"	"0.416888"
"102+"	"3.79312"
"102-"	"3.79312"
"103+"	"1.9558"
"103-"	"1.9558"
"104+"	"1.67522"
"104-"	"1.67522"
"105+"	"1.33209"
"105-"	"1.33209"
"106+"	"4.29041"
"106-"	"4.29041"
"107+"	"1.07647"
"107-"	"1.07647"
"108+"	"0.846503"
"108-"	"0.846503"
"109+"	"0.549687"
"109-"	"0.549687"
"11+"	"0.85296"
"11-"	"0.85296"
"110+"	"1.37683"
"110-"	"1.37683"
"111+"	"1.79709"
"111-"	"1.79709"
"112+"	"2.48342"
"112-"	"2.48342"
"113+"	"3.46843"
"113-"	"3.46843"
"114+"	"0.371373"
"114-"	"0.371373"
"115+"	"2.69866"
"115-"	"2.69866"
"116+"	"5.93751"
"116-"	"5.93751"
"117+"	"0.998916"
"117-"	"0.998916"
"118+"	"2.39013"
"118-"	"2.39013"
"119+"	"1.90235"
"119-"	"1.90235"
"12+"	"0.918561"
"12-"	"0.918561"
"120+"	"1.76961"
"120-"	"1.76961"
"121+"	"3.88396"
"121-"	"3.88396"
"122+"	"4.42716"
"122-"	"4.42716"
"123+"	"6.83299"
"123-"	"6.83299"
"124+"	"15.9157"
"124-"	"15.9157"
"125+"	"2.66194"
"125-"	"2.66194"
"126+"	"1.03501"
"126-"	"1.03501"
"127+"	"1.08015"
"127-"	"1.08015"
"128+"	"2.5982"
"128-"	"2.5982"
"129+"	"3.45105"
"129-"	"3.45105"
"13+"	"1.02651"
"13-"	"1.02651"
"130+"	"2.6706"
"130-"	"2.6706"
"131+"	"1.43692"
"131-"	"1.43692"
"132+"	"2.04868"
"132-"	"2.04868"
"133+"	"3.24375"
"133-"	"3.24375"
"134+"	"1.81394"
"134-"	"1.81394"
"135+"	"1.47249"
"135-"	"1.47249"
"136+"	"2.34745"
"136-"	"2.34745"
"137+"	"2.9023"
"137-"	"2.9023"
"138+"	"3.26509"
"138-"	"3.26509"
"139+"	"2.49683"
"139-"	"2.49683"
"14+"	"0.875696"
"14-"	"0.875696"
"140+"	"5.07902"
"140-"	"5.07902"
"141+"	"3.32911"
"141-"	"3.32911"
"142+"	"8.10937"
"142-"	"8.10937"
"143+"	"1.7926"
"143-"	"1.7926"
"144+"	"1.1097"
"144-"	"1.1097"
"145+"	"2.43281"
"145-"	"2.43281"
"146+"	"2.9023"
"146-"	"2.9023"
"147+"	"1.49383"
"147-"	"1.49383"
"148+"	"2.09136"
"148-"	"2.09136"
"149+"	"8.45081"
"149-"	"8.45081"
"15+"	"1.10741"
"15-"	"1.10741"
"150+"	"0.938979"
"150-"	"0.938979"
"151+"	"1.40847"
"151-"	"1.40847"
"152+"	"5.84728"
"152-"	"5.84728"
"153+"	"4.18273"
"153-"	"4.18273"
"154+"	"2.17672"
"154-"	"2.17672"
"155+"	"4.05468"
"155-"	"4.05468"
"156+"	"3.24375"
"156-"	"3.24375"
"157+"	"1.40847"
"157-"	"1.40847"
"158+"	"2.73158"
"158-"	"2.73158"
"159+"	"6.018"
"159-"	"6.018"
"16+"	"1.03411"
"16-"	"1.03411"
"160+"	"4.60953"
"160-"	"4.60953"
"161+"	"2.26209"
"161-"	"2.26209"
"162+"	"2.39013"
"162-"	"2.39013"
"163+"	"3.32911"
"163-"	"3.32911"
"164+"	"2.60353"
"164-"	"2.60353"
"165+"	"4.43881"
"165-"	"4.43881"
"166+"	"3.45715"
"166-"	"3.45715"
"167+"	"2.73158"
"167-"	"2.73158"
"17+"	"1.11747"
"17-"	"1.11747"
"18+"	"1.05146"
"18-"	"1.05146"
"19+"	"0.902222"
"19-"	"0.902222"
"2+"	"1"
"2-"	"1"
"20+"	"1.0063"
"20-"	"1.0063"
"21+"	"0.848987"
"21-"	"0.848987"
"22+"	"1.05927"
"22-"	"1.05927"
"23+"	"1.06415"
"23-"	"1.06415"
"24+"	"1.06147"
"24-"	"1.06147"
"25+"	"0.896452"
"25-"	"0.896452"
"26+"	"1.02722"
"26-"	"1.02722"
"27+"	"1.01377"
"27-"	"1.01377"
"28+"	"0.961207"
"28-"	"0.961207"
"29+"	"0.861065"
"29-"	"0.861065"
"3+"	"1.08388"
"3-"	"1.08388"
"30+"	"1.12578"
"30-"	"1.12578"
"31+"	"1.19472"
"31-"	"1.19472"
"32+"	"0.918975"
"32-"	"0.918975"
"33+"	"1.16288"
"33-"	"1.16288"
"34+"	"1.04629"
"34-"	"1.04629"
"35+"	"1.1133"
"35-"	"1.1133"
"36+"	"1.09519"
"36-"	"1.09519"
"37+"	"1.02474"
"37-"	"1.02474"
"38+"	"0.881945"
"38-"	"0.881945"
"39+"	"0.823122"
"39-"	"0.823122"
"4+"	"0.86751"
"4-"	"0.86751"
"40+"	"0.899905"
"40-"	"0.899905"
"41+"	"0.873737"
"41-"	"0.873737"
"42+"	"1.12394"
"42-"	"1.12394"
"43+"	"0.974204"
"43-"	"0.974204"
"44+"	"0.958664"
"44-"	"0.958664"
"45+"	"1.03933"
"45-"	"1.03933"
"46+"	"1.22101"
"46-"	"1.22101"
"47+"	"0.99968"
"47-"	"0.99968"
"48+"	"1.03787"
"48-"	"1.03787"
"49+"	"1.15748"
"49-"	"1.15748"
"5+"	"1.02312"
"5-"	"1.02312"
"50+"	"1.1699"
"50-"	"1.1699"
"51+"	"1.15"
"51-"	"1.15"
"52+"	"0.978382"
"52-"	"0.978382"
"53+"	"7.28153"
"53-"	"7.28153"
"54+"	"1.1553"
"54-"	"1.1553"
"55+"	"1.19062"
"55-"	"1.19062"
"56+"	"1.12488"
"56-"	"1.12488"
"57+"	"0.992915"
"57-"	"0.992915"
"58+"	"1.00283"
"58-"	"1.00283"
"59+"	"1.05774"
"59-"	"1.05774"
"6+"	"0.870143"
"6-"	"0.870143"
"60+"	"6.97538"
"60-"	"6.97538"
"61+"	"1.63086"
"61-"	"1.63086"
"62+"	"0.950166"
"62-"	"0.950166"
"63+"	"0.830796"
"63-"	"0.830796"
"64+"	"13.6689"
"64-"	"13.6689"
"65+"	"5.39815"
"65-"	"5.39815"
"66+"	"2.18258"
"66-"	"2.18258"
"67+"	"0.866708"
"67-"	"0.866708"
"68+"	"0.783322"
"68-"	"0.783322"
"69+"	"11.8092"
"69-"	"11.8092"
"7+"	"1.05065"
"7-"	"1.05065"
"70+"	"3.54154"
"70-"	"3.54154"
"71+"	"2.77783"
"71-"	"2.77783"
"72+"	"2.60404"
"72-"	"2.60404"
"73+"	"1.28468"
"73-"	"1.28468"
"74+"	"3.52049"
"74-"	"3.52049"
"75+"	"1.947"
"75-"	"1.947"
"76+"	"0.911915"
"76-"	"0.911915"
"77+"	"2.25733"
"77-"	"2.25733"
"78+"	"4.47581"
"78-"	"4.47581"
"79+"	"1.16401"
"79-"	"1.16401"
"8+"	"0.891014"
"8-"	"0.891014"
"80+"	"2.19566"
"80-"	"2.19566"
"81+"	"1.04426"
"81-"	"1.04426"
"82+"	"1.35083"
"82-"	"1.35083"
"83+"	"2.00709"
"83-"	"2.00709"
"84+"	"1.15983"
"84-"	"1.15983"
"85+"	"0.963026"
"85-"	"0.963026"
"86+"	"1.94849"
"86-"	"1.94849"
"87+"	"2.80567"
"87-"	"2.80567"
"88+"	"6.18471"
"88-"	"6.18471"
"89+"	"0.939645"
"89-"	"0.939645"
"9+"	"1.08345"
"9-"	"1.08345"
"90+"	"1.04267"
"90-"	"1.04267"
"91+"	"2.92794"
"91-"	"2.92794"
"92+"	"1.49516"
"92-"	"1.49516"
"93+"	"1.01136"
"93-"	"1.01136"
"94+"	"3.41207"
"94-"	"3.41207"
"95+"	"2.65568"
"95-"	"2.65568"
"96+"	"1.90144"
"96-"	"1.90144"
"97+"	"2.006"
"97-"	"2.006"
"98+"	"2.00862"
"98-"	"2.00862"
"99+"	"2.67368"
"99-"	"2.67368"
