"From"	"to"
"83-"	"57+"
"83-"	"67+"
"83+"	"84-"
"84-"	"66+"
"84+"	"83-"
"85+"	"71-"
"85-"	"100+"
"86+"	"71-"
"86-"	"100+"
"87-"	"31+"
"87+"	"46-"
"87-"	"46+"
"87+"	"59-"
"88-"	"82+"
"88+"	"112+"
"88+"	"113+"
"88-"	"121+"
"89+"	"118-"
"89-"	"138+"
"90+"	"111-"
"90-"	"141-"
"91-"	"21+"
"91+"	"94+"
"91-"	"111+"
"92+"	"47+"
"92-"	"102-"
"92+"	"109+"
"93+"	"71+"
"93-"	"110+"
"94-"	"27+"
"94+"	"37+"
"94+"	"80-"
"94-"	"91-"
"95-"	"122+"
"95+"	"122-"
"96+"	"53-"
"96-"	"60-"
"97-"	"2+"
"97-"	"23+"
"97+"	"80+"
"98+"	"44+"
"98-"	"71+"
"98+"	"126-"
"99-"	"15-"
"99-"	"120+"
"99+"	"129-"
"100+"	"28+"
"100+"	"61+"
"100-"	"85+"
"100-"	"86+"
"101+"	"127-"
"101-"	"127+"
"102+"	"33+"
"102-"	"78+"
"102+"	"92+"
"103-"	"35+"
"103+"	"79-"
"103-"	"79+"
"103+"	"81-"
"104-"	"52-"
"104-"	"54+"
"104+"	"57-"
"104+"	"67-"
"105+"	"74-"
"105-"	"112-"
"106+"	"53-"
"106-"	"60-"
"107+"	"130-"
"107-"	"138+"
"108+"	"61-"
"108-"	"147-"
"109-"	"92-"
"109+"	"166+"
"110-"	"93+"
"110-"	"126+"
"110+"	"159-"
"111+"	"10-"
"111+"	"90-"
"111-"	"91+"
"112+"	"49+"
"112-"	"88-"
"112+"	"105+"
"113+"	"22+"
"113-"	"88-"
"113+"	"130+"
"114-"	"119+"
"114+"	"119-"
"115-"	"12+"
"115-"	"20-"
"115+"	"152-"
"116+"	"5-"
"116-"	"60+"
"116+"	"129+"
"117-"	"3-"
"117-"	"41+"
"117+"	"128-"
"118-"	"53+"
"118+"	"76+"
"118+"	"89-"
"119-"	"13+"
"119+"	"24+"
"119-"	"114+"
"119+"	"114-"
"120+"	"7-"
"120+"	"24-"
"120-"	"99+"
"121+"	"73+"
"121+"	"74+"
"121-"	"88+"
"122-"	"15+"
"122+"	"51-"
"122+"	"95-"
"122-"	"95+"
"123-"	"20+"
"123+"	"69+"
"123-"	"137-"
"123-"	"155+"
"124+"	"64+"
"124-"	"146+"
"124-"	"147+"
"124-"	"148+"
"124-"	"149+"
"125+"	"3+"
"125-"	"17-"
"125-"	"17+"
"125+"	"26+"
"126+"	"98-"
"126-"	"110+"
"127-"	"30+"
"127+"	"36-"
"127-"	"101+"
"127+"	"101-"
"128+"	"48+"
"128-"	"70+"
"128+"	"117-"
"129+"	"26-"
"129+"	"99-"
"129-"	"116-"
"130+"	"1-"
"130+"	"107-"
"130-"	"113-"
"131+"	"30-"
"131-"	"137+"
"131+"	"150-"
"132+"	"12-"
"132+"	"22-"
"132-"	"163-"
"133+"	"16+"
"133+"	"31-"
"133-"	"142+"
"134+"	"1+"
"134+"	"21-"
"134-"	"142+"
"135-"	"5+"
"135-"	"19+"
"135+"	"137+"
"136-"	"7+"
"136-"	"29-"
"136+"	"69-"
"137+"	"123+"
"137-"	"131+"
"137-"	"135-"
"138+"	"65+"
"138-"	"89+"
"138-"	"107+"
"139-"	"6-"
"139-"	"25+"
"139-"	"76-"
"139+"	"140-"
"140-"	"69-"
"140+"	"139-"
"140+"	"162-"
"141+"	"90+"
"141-"	"142+"
"141+"	"161+"
"142+"	"64-"
"142-"	"133+"
"142-"	"134+"
"142-"	"141+"
"143-"	"32+"
"143-"	"144+"
"143+"	"156-"
"144+"	"37-"
"144+"	"63-"
"144-"	"143+"
"145-"	"38+"
"145-"	"39+"
"145+"	"65+"
"146+"	"42+"
"146-"	"124+"
"146+"	"151-"
"147+"	"62+"
"147+"	"108+"
"147-"	"124+"
"148+"	"55+"
"148+"	"58+"
"148-"	"124+"
"149+"	"9-"
"149+"	"27-"
"149+"	"62-"
"149-"	"124+"
"149+"	"153-"
"150-"	"14+"
"150-"	"34+"
"150+"	"131-"
"151-"	"39-"
"151-"	"43+"
"151+"	"146-"
"152-"	"53+"
"152+"	"77-"
"152+"	"115-"
"153-"	"43-"
"153+"	"149-"
"153-"	"154+"
"154+"	"28-"
"154+"	"47-"
"154-"	"153+"
"155+"	"9+"
"155-"	"123+"
"155+"	"156+"
"156+"	"55-"
"156+"	"143-"
"156-"	"155-"
"157-"	"35-"
"157-"	"45+"
"157+"	"70-"
"158-"	"10+"
"158-"	"41-"
"158-"	"68+"
"158+"	"165-"
"159+"	"50-"
"159-"	"64-"
"159+"	"110-"
"160+"	"44-"
"160-"	"64-"
"160+"	"164+"
"161+"	"8-"
"161+"	"42-"
"161-"	"141-"
"162-"	"11-"
"162-"	"13-"
"162-"	"34-"
"162+"	"140-"
"163+"	"58-"
"163-"	"69-"
"163+"	"132+"
"164+"	"23-"
"164+"	"82-"
"164-"	"160-"
"165+"	"19-"
"165-"	"65-"
"165+"	"158-"
"166-"	"18-"
"166-"	"33-"
"166+"	"78-"
"166-"	"109-"
"167+"	"32-"
"167+"	"73-"
"167-"	"74-"
