"From"	"to"
"1+"	"130-"
"1-"	"134-"
"2+"	"60+"
"2-"	"97+"
"3+"	"117+"
"3-"	"125-"
"4-"	"75-"
"4+"	"80+"
"5+"	"116-"
"5-"	"135+"
"6-"	"75-"
"6+"	"139+"
"7+"	"120-"
"7-"	"136+"
"8-"	"72+"
"8+"	"161-"
"9+"	"149-"
"9-"	"155-"
"10+"	"111-"
"10-"	"158+"
"11-"	"69+"
"11+"	"162+"
"12-"	"115+"
"12+"	"132-"
"13-"	"119+"
"13+"	"162+"
"14+"	"72-"
"14-"	"150+"
"15+"	"99+"
"15-"	"122+"
"16+"	"64-"
"16-"	"133-"
"17+"	"125+"
"17-"	"125+"
"18-"	"83-"
"18+"	"166+"
"19-"	"135+"
"19+"	"165-"
"20+"	"115+"
"20-"	"123+"
"21-"	"91+"
"21+"	"134-"
"22-"	"113-"
"22+"	"132-"
"23-"	"97+"
"23+"	"164-"
"24-"	"119-"
"24+"	"120-"
"25+"	"61-"
"25-"	"139+"
"26-"	"125-"
"26+"	"129-"
"27-"	"94+"
"27+"	"149-"
"28-"	"100-"
"28+"	"154-"
"29-"	"66+"
"29+"	"136+"
"30-"	"127+"
"30+"	"131-"
"31-"	"87+"
"31+"	"133-"
"32-"	"143+"
"32+"	"167-"
"33-"	"102-"
"33+"	"166+"
"34-"	"150+"
"34+"	"162+"
"35-"	"103+"
"35+"	"157+"
"36-"	"77+"
"36+"	"127-"
"37-"	"94-"
"37+"	"144-"
"38+"	"70-"
"38-"	"145+"
"39-"	"145+"
"39+"	"151+"
"40+"	"65+"
"40-"	"75+"
"41-"	"117+"
"41+"	"158+"
"42-"	"146-"
"42+"	"161-"
"43-"	"151+"
"43+"	"153+"
"44-"	"98-"
"44+"	"160-"
"45+"	"70-"
"45-"	"157+"
"46+"	"87-"
"46-"	"87+"
"47-"	"92-"
"47+"	"154-"
"48+"	"65-"
"48-"	"128-"
"49+"	"69-"
"49-"	"112-"
"50-"	"72+"
"50+"	"159-"
"51-"	"70+"
"51+"	"122-"
"52-"	"78+"
"52+"	"104+"
"53+"	"96-"
"53+"	"106-"
"53-"	"118+"
"53-"	"152+"
"54+"	"66-"
"54-"	"104+"
"55-"	"148-"
"55+"	"156-"
"56-"	"64+"
"56+"	"78-"
"57-"	"83+"
"57+"	"104-"
"58-"	"148-"
"58+"	"163-"
"59-"	"72-"
"59+"	"87-"
"60-"	"2-"
"60+"	"96+"
"60+"	"106+"
"60-"	"116+"
"61+"	"25-"
"61-"	"100-"
"61+"	"108-"
"62-"	"147-"
"62+"	"149-"
"63-"	"75+"
"63+"	"144-"
"64+"	"16-"
"64-"	"56+"
"64-"	"124-"
"64+"	"142-"
"64+"	"159+"
"64+"	"160+"
"65-"	"40-"
"65+"	"48-"
"65-"	"138-"
"65-"	"145-"
"65+"	"165+"
"66-"	"29+"
"66+"	"54-"
"66+"	"68-"
"66-"	"84+"
"67-"	"83+"
"67+"	"104-"
"68+"	"66-"
"68-"	"158+"
"69-"	"11+"
"69+"	"49-"
"69-"	"123-"
"69+"	"136-"
"69+"	"140+"
"69+"	"163+"
"70+"	"38-"
"70+"	"45-"
"70-"	"51+"
"70-"	"128+"
"70+"	"157-"
"71+"	"85-"
"71+"	"86-"
"71-"	"93-"
"71-"	"98+"
"72-"	"8+"
"72+"	"14-"
"72-"	"50+"
"72+"	"59+"
"73-"	"121-"
"73+"	"167-"
"74+"	"105-"
"74-"	"121-"
"74+"	"167+"
"75+"	"4+"
"75+"	"6+"
"75-"	"40+"
"75-"	"63+"
"76-"	"118-"
"76+"	"139+"
"77-"	"36+"
"77-"	"81+"
"77+"	"152-"
"78-"	"52+"
"78+"	"56-"
"78-"	"102+"
"78+"	"166-"
"79+"	"103-"
"79-"	"103+"
"80-"	"4-"
"80+"	"94-"
"80-"	"97-"
"81-"	"77+"
"81+"	"103-"
"82-"	"88+"
"82+"	"164-"
"83+"	"18+"
