"From"	"to"
"88-"	"91-"
"88+"	"125-"
"89-"	"85-"
"89+"	"124-"
"90-"	"19+"
"90+"	"102-"
"90+"	"142-"
"90-"	"144-"
"91-"	"25+"
"91+"	"88+"
"91-"	"128-"
"92-"	"64+"
"92-"	"83+"
"92+"	"111+"
"92+"	"114+"
"93-"	"78+"
"93-"	"140+"
"93+"	"156+"
"93+"	"185+"
"94-"	"180+"
"94+"	"193-"
"95-"	"133-"
"95+"	"162-"
"96-"	"1+"
"96+"	"85-"
"97-"	"166-"
"97+"	"191+"
"98-"	"69+"
"98+"	"198+"
"99-"	"114-"
"99+"	"181-"
"100-"	"12-"
"100+"	"65-"
"101-"	"58-"
"101+"	"68-"
"102+"	"90-"
"102-"	"140-"
"103+"	"140-"
"103-"	"142+"
"104-"	"107-"
"104-"	"115-"
"104+"	"127-"
"104+"	"130-"
"105-"	"77+"
"105+"	"163-"
"106+"	"6-"
"106+"	"36-"
"106-"	"113-"
"106-"	"120-"
"107+"	"104+"
"107-"	"116+"
"108+"	"137-"
"108-"	"164-"
"109-"	"114-"
"109+"	"195-"
"110-"	"58-"
"110+"	"68-"
"111+"	"78-"
"111-"	"92-"
"111+"	"168-"
"111+"	"178-"
"112+"	"86+"
"112-"	"116-"
"113-"	"67+"
"113+"	"106+"
"114+"	"18+"
"114-"	"92-"
"114+"	"99+"
"114+"	"109+"
"115+"	"104+"
"115-"	"116+"
"116-"	"107+"
"116+"	"112+"
"116-"	"115+"
"116+"	"122+"
"117+"	"122-"
"117-"	"142+"
"118-"	"12-"
"118+"	"65-"
"119-"	"27+"
"119+"	"68+"
"119-"	"164+"
"120-"	"67+"
"120+"	"106+"
"121+"	"54-"
"121+"	"57-"
"121-"	"174-"
"122-"	"116-"
"122+"	"117-"
"122+"	"132-"
"123+"	"126-"
"123-"	"137-"
"124-"	"10-"
"124-"	"87+"
"124+"	"87-"
"124+"	"89-"
"125+"	"88-"
"125-"	"134-"
"126+"	"1-"
"126+"	"123-"
"126-"	"164-"
"127+"	"104-"
"127-"	"169+"
"127-"	"170+"
"127-"	"171+"
"127-"	"172+"
"128-"	"11+"
"128-"	"35-"
"128+"	"91+"
"129+"	"20+"
"129+"	"22+"
"129-"	"135+"
"130-"	"11-"
"130+"	"104-"
"130-"	"148+"
"131-"	"1+"
"131+"	"85-"
"132-"	"86+"
"132+"	"122-"
"133+"	"39-"
"133-"	"58+"
"133+"	"95+"
"134-"	"32-"
"134+"	"70-"
"134+"	"125+"
"134-"	"135-"
"135-"	"13+"
"135-"	"129+"
"135+"	"134+"
"136-"	"17+"
"136-"	"33+"
"136+"	"40-"
"136+"	"141-"
"137-"	"10+"
"137+"	"108-"
"137+"	"123+"
"137-"	"143+"
"138+"	"145-"
"138-"	"153-"
"139-"	"31-"
"139+"	"82+"
"139-"	"158+"
"140-"	"93+"
"140+"	"102+"
"140+"	"103-"
"141+"	"136-"
"141-"	"145-"
"142+"	"90-"
"142-"	"103+"
"142-"	"117+"
"143+"	"2-"
"143+"	"19-"
"143-"	"137+"
"144+"	"90+"
"144-"	"162+"
"144-"	"163+"
"145-"	"15+"
"145-"	"29+"
"145+"	"138-"
"145+"	"141+"
"146-"	"48-"
"146-"	"51-"
"146+"	"199+"
"147+"	"4-"
"147+"	"33-"
"147-"	"189+"
"148+"	"37-"
"148+"	"48+"
"148+"	"76+"
"148-"	"130+"
"149+"	"37+"
"149+"	"43+"
"149-"	"72+"
"150+"	"2+"
"150+"	"56-"
"150-"	"178+"
"151-"	"3+"
"151-"	"21+"
"151+"	"189+"
"152+"	"16+"
"152-"	"72+"
"152+"	"155+"
"153-"	"4+"
"153-"	"28+"
"153+"	"51+"
"153+"	"138+"
"154-"	"63+"
"154-"	"63-"
"154+"	"82-"
"155+"	"14+"
"155+"	"35+"
"155-"	"152-"
"156+"	"46+"
"156-"	"93-"
"156+"	"194-"
"157+"	"3-"
"157+"	"21-"
"157-"	"177-"
"158+"	"55-"
"158+"	"61-"
"158-"	"139+"
"159-"	"12+"
"159-"	"64-"
"159+"	"185-"
"160-"	"36+"
"160-"	"59+"
"160+"	"83-"
"161-"	"9-"
"161-"	"75-"
"161+"	"171-"
"162+"	"95-"
"162-"	"144+"
"162+"	"195+"
"163+"	"46-"
"163+"	"105-"
"163-"	"144+"
"164+"	"108+"
"164-"	"119+"
"164+"	"126+"
"165-"	"27-"
"165-"	"34+"
"165+"	"198+"
"166+"	"57+"
"166-"	"72+"
"166+"	"75+"
"166+"	"97+"
"167+"	"41-"
"167+"	"45+"
"167-"	"168+"
"168-"	"42+"
"168+"	"111-"
"168-"	"167+"
"169+"	"13-"
"169+"	"65+"
"169-"	"127+"
"170+"	"29-"
"170+"	"59-"
"170-"	"127+"
"171+"	"71-"
"171-"	"127+"
"171+"	"161-"
"172+"	"24+"
"172+"	"41+"
"172-"	"127+"
"173-"	"69-"
"173+"	"200+"
"174-"	"58+"
"174+"	"85+"
"174+"	"121+"
"175-"	"70+"
"175+"	"74-"
"175-"	"176+"
"176+"	"49-"
"176+"	"50-"
"176-"	"175+"
"177+"	"60+"
"177-"	"74+"
"177+"	"157+"
"177+"	"184-"
"178-"	"34-"
"178+"	"111-"
"178-"	"150+"
"179+"	"22-"
"179+"	"38-"
"179-"	"180+"
"180+"	"73+"
"180-"	"94+"
"180-"	"179+"
"181-"	"74-"
"181+"	"99-"
"181+"	"198-"
"182-"	"23+"
"182-"	"56+"
"182+"	"86-"
"183-"	"7+"
"183-"	"53-"
"183+"	"185-"
"184-"	"40+"
"184-"	"62+"
"184+"	"177-"
"185-"	"93-"
"185+"	"159-"
"185+"	"183-"
"186-"	"26+"
"186-"	"49+"
"186-"	"81+"
"186+"	"83-"
"187-"	"42-"
"187+"	"83-"
"187-"	"188+"
"188+"	"18-"
"188+"	"23-"
"188-"	"187+"
"189-"	"20-"
"189+"	"72-"
"189-"	"79+"
"189-"	"147+"
"189-"	"151-"
"190-"	"30+"
"190-"	"32+"
"190-"	"54+"
"190+"	"73-"
"191-"	"43-"
"191-"	"97-"
"191+"	"197-"
"192+"	"17-"
"192-"	"86-"
"192+"	"197+"
"193+"	"7-"
"193-"	"86-"
"193+"	"94-"
"193+"	"196+"
"194+"	"156-"
"194-"	"200+"
"195+"	"60-"
"195+"	"109-"
"195-"	"162-"
"196+"	"5-"
"196+"	"44-"
"196-"	"193-"
"197+"	"30-"
"197+"	"79-"
"197+"	"191-"
"197-"	"192-"
"198-"	"98-"
"198-"	"165-"
"198+"	"181-"
"199-"	"25-"
"199+"	"72-"
"199-"	"146-"
"200+"	"45-"
"200+"	"50+"
"200-"	"173-"
"200-"	"194+"
