"From"	"to"
"1-"	"96+"
"1+"	"126-"
"1-"	"131+"
"2+"	"143-"
"2-"	"150-"
"3-"	"151+"
"3+"	"157-"
"4+"	"147-"
"4-"	"153+"
"5-"	"69-"
"5+"	"196-"
"6-"	"77-"
"6+"	"106-"
"7-"	"183+"
"7+"	"193-"
"8+"	"84-"
"8-"	"84+"
"9-"	"77+"
"9+"	"161+"
"10+"	"124+"
"10-"	"137+"
"11-"	"128+"
"11+"	"130+"
"12+"	"100+"
"12+"	"118+"
"12-"	"159+"
"13-"	"135+"
"13+"	"169-"
"14+"	"86-"
"14-"	"155-"
"15+"	"68+"
"15-"	"145+"
"16+"	"73+"
"16-"	"152-"
"17-"	"136+"
"17+"	"192-"
"18-"	"114-"
"18+"	"188-"
"19-"	"90+"
"19+"	"143-"
"20-"	"129-"
"20+"	"189+"
"21-"	"151+"
"21+"	"157-"
"22-"	"129-"
"22+"	"179-"
"23-"	"182+"
"23+"	"188-"
"24+"	"84-"
"24-"	"172-"
"25-"	"91+"
"25+"	"199+"
"26+"	"88-"
"26-"	"186+"
"27-"	"119+"
"27+"	"165+"
"28+"	"84+"
"28-"	"153+"
"29-"	"145+"
"29+"	"170-"
"30-"	"190+"
"30+"	"197-"
"31-"	"80-"
"31+"	"139+"
"32+"	"134+"
"32-"	"190+"
"33-"	"136+"
"33+"	"147-"
"34-"	"165+"
"34+"	"178+"
"35+"	"128+"
"35-"	"155-"
"36+"	"106-"
"36-"	"160+"
"37+"	"148-"
"37-"	"149-"
"38-"	"74+"
"38+"	"179-"
"39-"	"88+"
"39+"	"133-"
"40+"	"136-"
"40-"	"184+"
"41+"	"167-"
"41-"	"172-"
"42-"	"168+"
"42+"	"187+"
"43-"	"149-"
"43+"	"191+"
"44-"	"73-"
"44+"	"196-"
"45-"	"167-"
"45+"	"200-"
"46-"	"156-"
"46+"	"163-"
"47+"	"80-"
"47-"	"80+"
"48+"	"146+"
"48-"	"148-"
"49+"	"176-"
"49-"	"186+"
"50+"	"176-"
"50-"	"200-"
"51+"	"146+"
"51-"	"153-"
"52-"	"82-"
"52+"	"82-"
"53-"	"72+"
"53+"	"183+"
"54+"	"121-"
"54-"	"190+"
"55-"	"80+"
"55+"	"158-"
"56+"	"150-"
"56-"	"182+"
"57+"	"121-"
"57-"	"166-"
"58+"	"101+"
"58+"	"110+"
"58-"	"133+"
"58-"	"174+"
"59-"	"160+"
"59+"	"170-"
"60-"	"177-"
"60+"	"195-"
"61-"	"82+"
"61+"	"158-"
"62+"	"67-"
"62-"	"184+"
"63-"	"154+"
"63+"	"154+"
"64-"	"92+"
"64+"	"159+"
"65+"	"100-"
"65+"	"118-"
"65-"	"169-"
"66-"	"69+"
"66+"	"77-"
"67+"	"62-"
"67+"	"76-"
"67-"	"113+"
"67-"	"120+"
"68-"	"15-"
"68+"	"101-"
"68+"	"110-"
"68-"	"119-"
"69+"	"5+"
"69-"	"66+"
"69-"	"98+"
"69+"	"173+"
"70+"	"134-"
"70-"	"175+"
"71-"	"74+"
"71+"	"171-"
"72-"	"53+"
"72-"	"149+"
"72-"	"152+"
"72-"	"166+"
"72+"	"189-"
"72+"	"199-"
"73-"	"16-"
"73+"	"44+"
"73-"	"180-"
"73+"	"190-"
"74-"	"38+"
"74-"	"71+"
"74+"	"175-"
"74-"	"177+"
"74+"	"181+"
"75+"	"161+"
"75-"	"166-"
"76+"	"67-"
"76-"	"148-"
"77+"	"6+"
"77-"	"9+"
"77+"	"66-"
"77-"	"105+"
"78-"	"93+"
"78+"	"111-"
"79-"	"189+"
"79+"	"197-"
"80+"	"31+"
"80-"	"47+"
"80+"	"47-"
"80-"	"55+"
"81+"	"83-"
"81-"	"186+"
"82+"	"52-"
"82+"	"52+"
"82-"	"61+"
"82-"	"139-"
"82+"	"154-"
"83+"	"81-"
"83-"	"92+"
"83+"	"160-"
"83+"	"186-"
"83+"	"187-"
"84-"	"8+"
"84+"	"8-"
"84+"	"24-"
"84-"	"28-"
"85+"	"89+"
"85+"	"96-"
"85+"	"131-"
"85-"	"174-"
"86+"	"14-"
"86-"	"112-"
"86-"	"132+"
"86+"	"182-"
"86+"	"192+"
"86+"	"193+"
"87+"	"124-"
"87-"	"124+"
"88+"	"26-"
"88-"	"39+"
