"Node"	"Coverage"
"71-"	"1162"
"72+"	"1065"
"72-"	"1065"
"73+"	"1064"
"73-"	"1064"
"74+"	"1062"
"74-"	"1062"
"75+"	"1059"
"75-"	"1059"
"76+"	"1059"
"76-"	"1059"
"77+"	"1040"
"77-"	"1040"
"78+"	"1033"
"78-"	"1033"
"79+"	"1017"
"79-"	"1017"
"8+"	"93735"
"8-"	"93735"
"80+"	"953"
"80-"	"953"
"81+"	"931"
"81-"	"931"
"82+"	"787"
"82-"	"787"
"83+"	"763"
"83-"	"763"
"84+"	"758"
"84-"	"758"
"85+"	"731"
"85-"	"731"
"86+"	"712"
"86-"	"712"
"87+"	"705"
"87-"	"705"
"88+"	"670"
"88-"	"670"
"89+"	"625"
"89-"	"625"
"9+"	"88865"
"9-"	"88865"
"90+"	"621"
"90-"	"621"
"91+"	"619"
"91-"	"619"
"92+"	"599"
"92-"	"599"
"93+"	"580"
"93-"	"580"
"94+"	"558"
"94-"	"558"
"95+"	"405"
"95-"	"405"
"96+"	"388"
"96-"	"388"
"97+"	"376"
"97-"	"376"
"98+"	"353"
"98-"	"353"
"99+"	"352"
"99-"	"352"
