"From"	"to"
"104+"	"211-"
"104-"	"211+"
"105-"	"10+"
"105+"	"66+"
"105+"	"225+"
"105-"	"242+"
"106+"	"69+"
"106-"	"91+"
"106+"	"180-"
"106-"	"232+"
"106-"	"245+"
"107+"	"195+"
"107-"	"220-"
"108+"	"12-"
"108-"	"161+"
"108-"	"173+"
"108+"	"198+"
"109-"	"116+"
"109+"	"234+"
"110+"	"71-"
"110-"	"279-"
"110+"	"281-"
"110+"	"292-"
"110-"	"300-"
"110-"	"307-"
"110+"	"313-"
"110-"	"314+"
"111-"	"221-"
"111+"	"283-"
"111+"	"290-"
"111-"	"310-"
"111-"	"315+"
"111+"	"319-"
"111+"	"322-"
"112+"	"197-"
"112-"	"200+"
"113-"	"38+"
"113-"	"44+"
"113+"	"60-"
"113-"	"271+"
"113+"	"321-"
"114+"	"12+"
"114-"	"176+"
"114-"	"191+"
"114+"	"277-"
"114+"	"291+"
"115-"	"17+"
"115+"	"151+"
"115-"	"238+"
"115+"	"284-"
"116+"	"55+"
"116+"	"55-"
"116-"	"98+"
"116-"	"109+"
"117-"	"194-"
"117+"	"245-"
"118+"	"148-"
"118+"	"155-"
"118-"	"225-"
"119+"	"230-"
"119-"	"280+"
"120-"	"256+"
"120+"	"265-"
"121-"	"70-"
"121-"	"178-"
"121+"	"217+"
"122-"	"92-"
"122-"	"159+"
"122+"	"182-"
"122+"	"187-"
"123-"	"24+"
"123+"	"165+"
"123-"	"197+"
"123+"	"200-"
"124-"	"160-"
"124+"	"188-"
"124-"	"308-"
"124-"	"316+"
"124-"	"317+"
"125-"	"145+"
"125+"	"246-"
"126-"	"226+"
"126+"	"245-"
"127+"	"152-"
"127+"	"168-"
"127-"	"235+"
"128-"	"190-"
"128+"	"248+"
"129-"	"224+"
"129+"	"286-"
"130-"	"83-"
"130+"	"150-"
"130-"	"246+"
"131-"	"259-"
"131+"	"272-"
"132-"	"8-"
"132+"	"99-"
"132-"	"152+"
"132+"	"181+"
"132-"	"249-"
"133-"	"100-"
"133+"	"316-"
"134-"	"99+"
"134+"	"172+"
"134-"	"192+"
"134+"	"204+"
"135-"	"189+"
"135+"	"254-"
"136-"	"138-"
"136+"	"261-"
"137-"	"73+"
"137-"	"141+"
"137+"	"288-"
"138+"	"76-"
"138+"	"82-"
"138+"	"136+"
"138-"	"158+"
"139-"	"199+"
"139+"	"199-"
"140-"	"156+"
"140+"	"203-"
"140+"	"216+"
"141-"	"137+"
"141+"	"199-"
"142-"	"166+"
"142+"	"212-"
"143-"	"166+"
"143+"	"212-"
"144-"	"2+"
"144+"	"56-"
"144+"	"79-"
"144-"	"87-"
"145-"	"125+"
"145-"	"157-"
"145+"	"253-"
"146-"	"203+"
"146+"	"250+"
"147-"	"85-"
"147-"	"202+"
"147+"	"215+"
"148+"	"118-"
"148-"	"209+"
"149-"	"206+"
"149+"	"315-"
"150-"	"26+"
"150+"	"130-"
"150+"	"165-"
"150-"	"275-"
"151-"	"115-"
"151+"	"195+"
"152+"	"127-"
"152-"	"132+"
"153-"	"189-"
"153+"	"215+"
"154+"	"79+"
"154-"	"284+"
"155+"	"118-"
"155-"	"209+"
"156+"	"48-"
"156-"	"85+"
"156-"	"140+"
"156+"	"296-"
"156+"	"318+"
"157+"	"145+"
"157-"	"269+"
"158-"	"138+"
"158+"	"164-"
"158-"	"175+"
"159-"	"122+"
"159+"	"201-"
"160+"	"124+"
"160-"	"164+"
"161+"	"93-"
"161-"	"108+"
"162-"	"91-"
"162-"	"206-"
"162+"	"219+"
"163+"	"218-"
"163-"	"255-"
"164+"	"103-"
"164+"	"158-"
"164-"	"160+"
"164-"	"190+"
"165-"	"123-"
"165+"	"150-"
"166+"	"71+"
"166+"	"95-"
"166-"	"142+"
"166-"	"143+"
"167+"	"193-"
"167-"	"193+"
"168+"	"127-"
"168-"	"248+"
"169-"	"298+"
"169+"	"303+"
"170-"	"209-"
"170+"	"321+"
"171-"	"257+"
"171+"	"273-"
"172-"	"134-"
"172+"	"251-"
"173+"	"93-"
"173-"	"108+"
"174+"	"87+"
"174-"	"256+"
"175-"	"158+"
"175+"	"192-"
"176-"	"114+"
"176+"	"279+"
"177+"	"214+"
"177-"	"278+"
"178+"	"121+"
"178-"	"194-"
"179+"	"188-"
"179-"	"200+"
"180-"	"58+"
"180-"	"62-"
"180+"	"106-"
"180-"	"244+"
"181+"	"58-"
"181-"	"132-"
"181+"	"257-"
"182+"	"122-"
"182-"	"294-"
"183+"	"100+"
"183-"	"231+"
"184+"	"79+"
"184-"	"249+"
"185-"	"239+"
"185+"	"252+"
"186-"	"237+"
"186+"	"237-"
"187-"	"87+"
"187+"	"122-"
"188-"	"98-"
"188+"	"124-"
"188+"	"179-"
"188-"	"256-"
"188-"	"311+"
"189-"	"27-"
"189+"	"63-"
"189-"	"135+"
"189+"	"153+"
"190+"	"72-"
"190+"	"81+"
"190+"	"103+"
"190+"	"128+"
"190-"	"164+"
"191+"	"19+"
"191-"	"114+"
"191+"	"250-"
"191+"	"305-"
"192-"	"134+"
"192+"	"175-"
"192+"	"301+"
"192+"	"302+"
"193-"	"16+"
"193+"	"42-"
"193+"	"167-"
"193-"	"167+"
"194+"	"117+"
"194+"	"178+"
"194-"	"213+"
"195-"	"107-"
"195-"	"151-"
"195+"	"288-"
"196+"	"101-"
"196-"	"213+"
"196+"	"247-"
"196+"	"278-"
"197+"	"59+"
"197+"	"112-"
"197-"	"123+"
"198+"	"51-"
"198-"	"108-"
"198+"	"219-"
"199-"	"24-"
"199+"	"139-"
"199-"	"139+"
"199+"	"141-"
"200-"	"112+"
"200+"	"123-"
"200-"	"179+"
"201+"	"159-"
"201+"	"213-"
"201-"	"214+"
"202+"	"101+"
"202-"	"147+"
"202+"	"235-"
"202+"	"264-"
"202+"	"274-"
"203-"	"14-"
"203+"	"140-"
"203-"	"146+"
"204+"	"54+"
"204+"	"86+"
"204-"	"134-"
"204+"	"269-"
"204+"	"272+"
"205-"	"64+"
"205+"	"64-"
"205-"	"65+"
"205+"	"68+"
"206-"	"22+"
"206-"	"149+"
"206+"	"162+"
"207+"	"56+"
"207+"	"78+"
"207-"	"93+"
"208+"	"35-"
"208-"	"239+"
"208+"	"240-"
"208+"	"287-"
"209+"	"10-"
"209-"	"148+"
"209-"	"155+"
"209+"	"170+"
"210-"	"96+"
"210+"	"100+"
"210-"	"267-"
"211-"	"70+"
"211+"	"90-"
"211-"	"104+"
"211+"	"104-"
"212-"	"15+"
"212-"	"49+"
"212+"	"142-"
"212+"	"143-"
"213-"	"194+"
"213-"	"196+"
"213+"	"201-"
"214-"	"177-"
"214-"	"201+"
"214+"	"217+"
"215+"	"68-"
"215-"	"147-"
"215-"	"153-"
"215+"	"217-"
"216+"	"77-"
"216-"	"140-"
"216+"	"239-"
"217-"	"121-"
"217-"	"214-"
"217+"	"215-"
"218+"	"67+"
"218+"	"163-"
"218-"	"266+"
"219-"	"33-"
"219-"	"162-"
"219+"	"198-"
"220+"	"22-"
"220+"	"107+"
"220-"	"305+"
"221-"	"15-"
"221-"	"48+"
"221+"	"111+"
"222-"	"11+"
"222-"	"47-"
"222+"	"291-"
"223+"	"5-"
"223+"	"46-"
"223-"	"241+"
"224-"	"51+"
"224-"	"129+"
"224+"	"305+"
"225+"	"1+"
"225+"	"41-"
"225-"	"105-"
"225+"	"118+"
"225+"	"285-"
"226-"	"67-"
"226-"	"126+"
"226+"	"312-"
"227+"	"41+"
"227+"	"78-"
"227-"	"258+"
"228+"	"40-"
"228+"	"94-"
"228-"	"264+"
"229+"	"19-"
"229+"	"36-"
"229-"	"279+"
"230+"	"88+"
"230+"	"119-"
"230-"	"262+"
"231-"	"13+"
"231-"	"183+"
"231+"	"322+"
"232+"	"43-"
"232+"	"69-"
"232-"	"106+"
"233+"	"80+"
"233+"	"268-"
"233-"	"279+"
"234-"	"6-"
"234-"	"109-"
"234+"	"309-"
"235-"	"63+"
"235-"	"127+"
"235+"	"202-"
"236+"	"7-"
"236+"	"80-"
"236-"	"256+"
"237+"	"17-"
"237-"	"73-"
"237-"	"186+"
"237+"	"186-"
"238+"	"74+"
"238+"	"89+"
"238-"	"115+"
"239-"	"185+"
"239-"	"208+"
"239+"	"216-"
"240-"	"4+"
"240-"	"46+"
"240+"	"208-"
"241-"	"31+"
"241-"	"223+"
"241+"	"277+"
"242-"	"105+"
"242+"	"243+"
"242+"	"260-"
"243+"	"44-"
"243-"	"242-"
"243+"	"253+"
"244+"	"16-"
"244+"	"33+"
"244-"	"180+"
"245-"	"106+"
"245+"	"117-"
"245+"	"126-"
"246+"	"45-"
"246+"	"125-"
"246-"	"130+"
"247-"	"90+"
"247-"	"102-"
"247+"	"196-"
"248-"	"34+"
"248+"	"100-"
"248-"	"128-"
"248-"	"168+"
"249-"	"37+"
"249+"	"132+"
"249-"	"184+"
"250-"	"50-"
"250-"	"146-"
"250+"	"191-"
"251+"	"21-"
"251+"	"172-"
"251-"	"296+"
"252-"	"23+"
"252-"	"185-"
"252+"	"313+"
"253+"	"97-"
"253+"	"145-"
"253-"	"243-"
"254+"	"29-"
"254+"	"135-"
"254-"	"302-"
"255+"	"163+"
"255-"	"256+"
"255+"	"259+"
"256-"	"120+"
"256-"	"174+"
"256+"	"188+"
"256-"	"236+"
"256-"	"255+"
"257-"	"83+"
"257-"	"171+"
"257+"	"181-"
"258-"	"45+"
"258-"	"227+"
"258+"	"312-"
"259+"	"8+"
"259+"	"131+"
"259-"	"255-"
"260-"	"27+"
"260-"	"75+"
"260+"	"242-"
"261+"	"2-"
"261+"	"136-"
"261-"	"262+"
"262-"	"230+"
"262-"	"261+"
"262+"	"311-"
"263-"	"14+"
"263-"	"102+"
"263+"	"270+"
"264-"	"62+"
"264-"	"82+"
"264+"	"202-"
"264-"	"228+"
"265+"	"54-"
"265+"	"120-"
"265-"	"266+"
"266-"	"218+"
"266-"	"265+"
"266+"	"318-"
"267-"	"25+"
"267-"	"40+"
"267+"	"210+"
"268-"	"4-"
"268-"	"61+"
"268+"	"233-"
"269-"	"76+"
"269-"	"157+"
"269+"	"204-"
"270-"	"77+"
"270-"	"263-"
"270+"	"310+"
"271+"	"5+"
"271+"	"53-"
"271-"	"113+"
"272+"	"1-"
"272+"	"131-"
"272-"	"204-"
"273+"	"96-"
"273+"	"171-"
"273-"	"274+"
"274-"	"53+"
"274+"	"202-"
"274-"	"273+"
"275-"	"36+"
"275+"	"150+"
"275-"	"276+"
"276+"	"26-"
"276+"	"42+"
"276-"	"275+"
"277-"	"72+"
"277+"	"114-"
"277-"	"241-"
"278-"	"57+"
"278-"	"92+"
"278-"	"177+"
"278+"	"196-"
"279+"	"110+"
"279-"	"176-"
"279-"	"229+"
"279-"	"233+"
"280-"	"97+"
"280-"	"119+"
"280+"	"303+"
"281-"	"6+"
"281+"	"110-"
"281-"	"282+"
"282+"	"28+"
"282+"	"89-"
"282-"	"281+"
"283-"	"9+"
"283-"	"94+"
"283+"	"111-"
"284-"	"52+"
"284+"	"115-"
"284-"	"154+"
"285-"	"21+"
"285-"	"57-"
"285+"	"225-"
"286+"	"129-"
"286-"	"287+"
"286+"	"304+"
"287-"	"18+"
"287+"	"208-"
"287-"	"286+"
"288-"	"93+"
"288+"	"137-"
"288+"	"195-"
"289-"	"7+"
"289-"	"86-"
"289+"	"316-"
"290-"	"50+"
"290-"	"61-"
"290+"	"111-"
"291+"	"23-"
"291-"	"114-"
"291+"	"222-"
"292-"	"20+"
"292-"	"35+"
"292-"	"74-"
"292+"	"110-"
"293-"	"294+"
"293-"	"295+"
"293+"	"308+"
"294+"	"11-"
"294+"	"182+"
"294-"	"293+"
"295+"	"43+"
"295+"	"75-"
"295-"	"293+"
"296-"	"65-"
"296+"	"156-"
"296-"	"251+"
"297-"	"39+"
"297-"	"95+"
"297+"	"317-"
"298-"	"9-"
"298-"	"169+"
"298+"	"311-"
"299-"	"3+"
"299-"	"29+"
"299+"	"300+"
"300-"	"3-"
"300-"	"47+"
"300+"	"110+"
"300-"	"299-"
"301+"	"13-"
"301+"	"31-"
"301-"	"192-"
"302+"	"38-"
"302-"	"192-"
"302+"	"254+"
"303-"	"32+"
"303-"	"169-"
"303-"	"280-"
"303+"	"318-"
"304+"	"39-"
"304+"	"60+"
"304-"	"286-"
"305+"	"191-"
"305-"	"220+"
"305-"	"224-"
"306-"	"28-"
"306-"	"81-"
"306+"	"317-"
"307-"	"20-"
"307-"	"32-"
"307-"	"37-"
"307+"	"110+"
"308-"	"84+"
"308+"	"124+"
"308-"	"293-"
"309+"	"49-"
"309+"	"234-"
"309-"	"310+"
"310+"	"111+"
"310-"	"270-"
"310-"	"309+"
"311-"	"188+"
"311+"	"262-"
"311+"	"298-"
"312+"	"226-"
"312+"	"258-"
"312-"	"313+"
"313-"	"30+"
"313+"	"110-"
"313-"	"252-"
"313-"	"312+"
"314+"	"18-"
"314+"	"88-"
"314-"	"110+"
"315+"	"34-"
"315-"	"111+"
"315+"	"149-"
"316-"	"124+"
"316+"	"133-"
"316+"	"289-"
"317-"	"124+"
"317+"	"297-"
"317+"	"306-"
"318-"	"156-"
"318+"	"266-"
"318+"	"303-"
"319-"	"25-"
"319-"	"84-"
"319+"	"111-"
"320+"	"30-"
"320+"	"52-"
"320-"	"321+"
"321+"	"113-"
"321-"	"170-"
"321-"	"320+"
"322-"	"59-"
"322-"	"66-"
"322+"	"111-"
"322-"	"231-"
