"From"	"to"
"1-"	"225-"
"1+"	"272-"
"2-"	"144+"
"2+"	"261-"
"3-"	"299+"
"3+"	"300+"
"4-"	"240+"
"4+"	"268+"
"5+"	"223-"
"5-"	"271-"
"6+"	"234+"
"6-"	"281+"
"7+"	"236-"
"7-"	"289+"
"8+"	"132+"
"8-"	"259-"
"9-"	"283+"
"9+"	"298+"
"10-"	"105+"
"10+"	"209-"
"11-"	"222+"
"11+"	"294-"
"12+"	"108-"
"12-"	"114-"
"13-"	"231+"
"13+"	"301-"
"14+"	"203+"
"14-"	"263+"
"15-"	"212+"
"15+"	"221+"
"16-"	"193+"
"16+"	"244-"
"17-"	"115+"
"17+"	"237-"
"18-"	"287+"
"18+"	"314-"
"19-"	"191-"
"19+"	"229-"
"20-"	"292+"
"20+"	"307+"
"21+"	"251-"
"21-"	"285+"
"22-"	"206+"
"22+"	"220-"
"23-"	"252+"
"23+"	"291-"
"24-"	"123+"
"24+"	"199+"
"25-"	"267+"
"25+"	"319+"
"26-"	"150+"
"26+"	"276-"
"27+"	"189+"
"27-"	"260+"
"28-"	"282-"
"28+"	"306+"
"29+"	"254-"
"29-"	"299+"
"30-"	"313+"
"30+"	"320-"
"31-"	"241+"
"31+"	"301-"
"32-"	"303+"
"32+"	"307+"
"33+"	"219+"
"33-"	"244-"
"34-"	"248+"
"34+"	"315-"
"35+"	"208-"
"35-"	"292+"
"36+"	"229-"
"36-"	"275+"
"37-"	"249+"
"37+"	"307+"
"38-"	"113+"
"38+"	"302-"
"39-"	"297+"
"39+"	"304-"
"40+"	"228-"
"40-"	"267+"
"41+"	"225-"
"41-"	"227-"
"42+"	"193-"
"42-"	"276-"
"43+"	"232-"
"43-"	"295-"
"44-"	"113+"
"44+"	"243-"
"45+"	"246-"
"45-"	"258+"
"46+"	"223-"
"46-"	"240+"
"47+"	"222+"
"47-"	"300+"
"48+"	"156-"
"48-"	"221+"
"49-"	"212+"
"49+"	"309-"
"50+"	"250+"
"50-"	"290+"
"51+"	"198-"
"51-"	"224+"
"52-"	"284+"
"52+"	"320-"
"53+"	"271-"
"53-"	"274+"
"54-"	"204-"
"54+"	"265-"
"55-"	"116-"
"55+"	"116-"
"56+"	"144-"
"56-"	"207-"
"57-"	"278+"
"57+"	"285+"
"58-"	"180+"
"58+"	"181-"
"59-"	"197-"
"59+"	"322+"
"60+"	"113-"
"60-"	"304-"
"61-"	"268+"
"61+"	"290+"
"62+"	"180+"
"62-"	"264+"
"63+"	"189-"
"63-"	"235+"
"64-"	"205+"
"64+"	"205-"
"65-"	"205+"
"65+"	"296+"
"66-"	"105-"
"66+"	"322+"
"67-"	"218-"
"67+"	"226+"
"68-"	"205-"
"68+"	"215-"
"69-"	"106-"
"69+"	"232-"
"70+"	"121+"
"70-"	"211+"
"71+"	"110-"
"71-"	"166-"
"72+"	"190-"
"72-"	"277+"
"73-"	"137+"
"73+"	"237+"
"74-"	"238-"
"74+"	"292+"
"75-"	"260+"
"75+"	"295-"
"76+"	"138-"
"76-"	"269+"
"77+"	"216-"
"77-"	"270+"
"78-"	"207-"
"78+"	"227-"
"79+"	"144-"
"79-"	"154-"
"79-"	"184-"
"80-"	"233-"
"80+"	"236-"
"81-"	"190-"
"81+"	"306+"
"82+"	"138-"
"82-"	"264+"
"83+"	"130+"
"83-"	"257+"
"84-"	"308+"
"84+"	"319+"
"85+"	"147+"
"85-"	"156+"
"86-"	"204-"
"86+"	"289+"
"87+"	"144+"
"87-"	"174-"
"87-"	"187+"
"88-"	"230-"
"88+"	"314-"
"89-"	"238-"
"89+"	"282-"
"90+"	"211-"
"90-"	"247+"
"91-"	"106+"
"91+"	"162+"
"92+"	"122+"
"92-"	"278+"
"93+"	"161-"
"93+"	"173-"
"93-"	"207+"
"93-"	"288+"
"94+"	"228-"
"94-"	"283+"
"95+"	"166-"
"95-"	"297+"
"96-"	"210+"
"96+"	"273-"
"97+"	"253-"
"97-"	"280+"
"98-"	"116+"
"98+"	"188+"
"99+"	"132-"
"99-"	"134+"
"100+"	"133+"
"100-"	"183-"
"100-"	"210-"
"100+"	"248-"
"101+"	"196-"
"101-"	"202-"
"102+"	"247+"
"102-"	"263+"
"103+"	"164-"
"103-"	"190-"
