"Node"	"Coverage"
"16+"	"1.11689"
"16-"	"1.11689"
"160+"	"1.25712"
"160-"	"1.25712"
"161+"	"2.28706"
"161-"	"2.28706"
"162+"	"3.00156"
"162-"	"3.00156"
"163+"	"0.490397"
"163-"	"0.490397"
"164+"	"6.25107"
"164-"	"6.25107"
"165+"	"1.1342"
"165-"	"1.1342"
"166+"	"1.6482"
"166-"	"1.6482"
"167+"	"3.0732"
"167-"	"3.0732"
"168+"	"0.997116"
"168-"	"0.997116"
"169+"	"0.498665"
"169-"	"0.498665"
"17+"	"1.13582"
"17-"	"1.13582"
"170+"	"0.867777"
"170-"	"0.867777"
"171+"	"2.57964"
"171-"	"2.57964"
"172+"	"1.01263"
"172-"	"1.01263"
"173+"	"4.85978"
"173-"	"4.85978"
"174+"	"0.418172"
"174-"	"0.418172"
"175+"	"1.27006"
"175-"	"1.27006"
"176+"	"1.06097"
"176-"	"1.06097"
"177+"	"0.929937"
"177-"	"0.929937"
"178+"	"1.64267"
"178-"	"1.64267"
"179+"	"0.927053"
"179-"	"0.927053"
"18+"	"0.931486"
"18-"	"0.931486"
"180+"	"5.29277"
"180-"	"5.29277"
"181+"	"4.11351"
"181-"	"4.11351"
"182+"	"0.380415"
"182-"	"0.380415"
"183+"	"1.076"
"183-"	"1.076"
"184+"	"0.670075"
"184-"	"0.670075"
"185+"	"0.785819"
"185-"	"0.785819"
"186+"	"0.361247"
"186-"	"0.361247"
"187+"	"0.419585"
"187-"	"0.419585"
"188+"	"12.1784"
"188-"	"12.1784"
"189+"	"2.17126"
"189-"	"2.17126"
"19+"	"1.05394"
"19-"	"1.05394"
"190+"	"4.65169"
"190-"	"4.65169"
"191+"	"5.07405"
"191-"	"5.07405"
"192+"	"5.87993"
"192-"	"5.87993"
"193+"	"4.3807"
"193-"	"4.3807"
"194+"	"2.98374"
"194-"	"2.98374"
"195+"	"2.76016"
"195-"	"2.76016"
"196+"	"5.75643"
"196-"	"5.75643"
"197+"	"3.06546"
"197-"	"3.06546"
"198+"	"7.47214"
"198-"	"7.47214"
"199+"	"1.81858"
"199-"	"1.81858"
"2+"	"1.07602"
"2-"	"1.07602"
"20+"	"0.924437"
"20-"	"0.924437"
"200+"	"2.62285"
"200-"	"2.62285"
"201+"	"10.7159"
"201-"	"10.7159"
"202+"	"14.9776"
"202-"	"14.9776"
"203+"	"0.863657"
"203-"	"0.863657"
"204+"	"4.98073"
"204-"	"4.98073"
"205+"	"2.38261"
"205-"	"2.38261"
"206+"	"1.86432"
"206-"	"1.86432"
"207+"	"2.48429"
"207-"	"2.48429"
"208+"	"4.05879"
"208-"	"4.05879"
"209+"	"1.71803"
"209-"	"1.71803"
"21+"	"0.950007"
"21-"	"0.950007"
"210+"	"4.53914"
"210-"	"4.53914"
"211+"	"2.18387"
"211-"	"2.18387"
"212+"	"1.70723"
"212-"	"1.70723"
"213+"	"9.27449"
"213-"	"9.27449"
"214+"	"11.5428"
"214-"	"11.5428"
"215+"	"19.0419"
"215-"	"19.0419"
"216+"	"4.86302"
"216-"	"4.86302"
"217+"	"15.8623"
"217-"	"15.8623"
"218+"	"1.32614"
"218-"	"1.32614"
"219+"	"4.82524"
"219-"	"4.82524"
"22+"	"0.99324"
"22-"	"0.99324"
"220+"	"2.82266"
"220-"	"2.82266"
"221+"	"2.40308"
"221-"	"2.40308"
"222+"	"0.979031"
"222-"	"0.979031"
"223+"	"1.95806"
"223-"	"1.95806"
"224+"	"2.13607"
"224-"	"2.13607"
"225+"	"5.98989"
"225-"	"5.98989"
"226+"	"1.24604"
"226-"	"1.24604"
"227+"	"0.812151"
"227-"	"0.812151"
"228+"	"1.42404"
"228-"	"1.42404"
"229+"	"2.77021"
"229-"	"2.77021"
"23+"	"0.873518"
"23-"	"0.873518"
"230+"	"0.993863"
"230-"	"0.993863"
"231+"	"2.18057"
"231-"	"2.18057"
"232+"	"13.6619"
"232-"	"13.6619"
"233+"	"3.72329"
"233-"	"3.72329"
"234+"	"3.44144"
"234-"	"3.44144"
"235+"	"4.18313"
"235-"	"4.18313"
"236+"	"3.35986"
"236-"	"3.35986"
"237+"	"2.24732"
"237-"	"2.24732"
"238+"	"2.42533"
"238-"	"2.42533"
"239+"	"3.0261"
"239-"	"3.0261"
"24+"	"1.19977"
"24-"	"1.19977"
"240+"	"1.46855"
"240-"	"1.46855"
"241+"	"2.64783"
"241-"	"2.64783"
"242+"	"4.47239"
"242-"	"4.47239"
"243+"	"2.82584"
"243-"	"2.82584"
"244+"	"4.29439"
"244-"	"4.29439"
"245+"	"2.78134"
"245-"	"2.78134"
"246+"	"1.06803"
"246-"	"1.06803"
"247+"	"2.29182"
"247-"	"2.29182"
"248+"	"2.87034"
"248-"	"2.87034"
"249+"	"1.31279"
"249-"	"1.31279"
"25+"	"1.16068"
"25-"	"1.16068"
"250+"	"2.49208"
"250-"	"2.49208"
"251+"	"2.64783"
"251-"	"2.64783"
"252+"	"1.4908"
"252-"	"1.4908"
"253+"	"1.78006"
"253-"	"1.78006"
"254+"	"3.84937"
"254-"	"3.84937"
"255+"	"5.74068"
"255-"	"5.74068"
"256+"	"10.4133"
"256-"	"10.4133"
"257+"	"4.31664"
"257-"	"4.31664"
"258+"	"1.15704"
"258-"	"1.15704"
"259+"	"5.16216"
"259-"	"5.16216"
"26+"	"0.908011"
"26-"	"0.908011"
"260+"	"1.78006"
"260-"	"1.78006"
"261+"	"1.95806"
"261-"	"1.95806"
"262+"	"2.67008"
"262-"	"2.67008"
"263+"	"3.1596"
"263-"	"3.1596"
"264+"	"5.38467"
"264-"	"5.38467"
"265+"	"1.20154"
"265-"	"1.20154"
"266+"	"3.1596"
"266-"	"3.1596"
"267+"	"1.95806"
"267-"	"1.95806"
"268+"	"2.31407"
"268-"	"2.31407"
"269+"	"3.0706"
"269-"	"3.0706"
"27+"	"1.01707"
"27-"	"1.01707"
"270+"	"4.85065"
"270-"	"4.85065"
"271+"	"1.95806"
"271-"	"1.95806"
"272+"	"2.22507"
"272-"	"2.22507"
"273+"	"4.27213"
"273-"	"4.27213"
"274+"	"4.93966"
"274-"	"4.93966"
"275+"	"4.45014"
"275-"	"4.45014"
"276+"	"2.75909"
"276-"	"2.75909"
"277+"	"2.98159"
"277-"	"2.98159"
"278+"	"3.47111"
"278-"	"3.47111"
"279+"	"8.36626"
"279-"	"8.36626"
"28+"	"1.02711"
"28-"	"1.02711"
"280+"	"0.890028"
"280-"	"0.890028"
"281+"	"2.62558"
"281-"	"2.62558"
"282+"	"1.95806"
"282-"	"1.95806"
"283+"	"1.02353"
"283-"	"1.02353"
"284+"	"2.67008"
"284-"	"2.67008"
"285+"	"2.00256"
"285-"	"2.00256"
"286+"	"2.13607"
"286-"	"2.13607"
"287+"	"3.0261"
"287-"	"3.0261"
"288+"	"5.25117"
"288-"	"5.25117"
"289+"	"1.15704"
"289-"	"1.15704"
"29+"	"0.865494"
"29-"	"0.865494"
"290+"	"1.06803"
"290-"	"1.06803"
"291+"	"1.24604"
"291-"	"1.24604"
"292+"	"2.26957"
"292-"	"2.26957"
"293+"	"3.73812"
"293-"	"3.73812"
"294+"	"1.20154"
"294-"	"1.20154"
"295+"	"2.31407"
"295-"	"2.31407"
"296+"	"3.2931"
"296-"	"3.2931"
"297+"	"1.42404"
"297-"	"1.42404"
"298+"	"1.15704"
"298-"	"1.15704"
"299+"	"2.22507"
"299-"	"2.22507"
"3+"	"0.986707"
"3-"	"0.986707"
"30+"	"1.18866"
"30-"	"1.18866"
"300+"	"5.51817"
"300-"	"5.51817"
"301+"	"5.60718"
"301-"	"5.60718"
"302+"	"5.87419"
"302-"	"5.87419"
"303+"	"2.00256"
"303-"	"2.00256"
"304+"	"1.46855"
"304-"	"1.46855"
"305+"	"4.89515"
"305-"	"4.89515"
"306+"	"3.2486"
"306-"	"3.2486"
"307+"	"3.73812"
"307-"	"3.73812"
"308+"	"4.71715"
"308-"	"4.71715"
"309+"	"4.80615"
"309-"	"4.80615"
"31+"	"1.0453"
"31-"	"1.0453"
"310+"	"9.3453"
"310-"	"9.3453"
"311+"	"3.82712"
"311-"	"3.82712"
"312+"	"2.22507"
"312-"	"2.22507"
"313+"	"4.13863"
"313-"	"4.13863"
"314+"	"1.86906"
"314-"	"1.86906"
"315+"	"3.2931"
"315-"	"3.2931"
"316+"	"2.58108"
"316-"	"2.58108"
"317+"	"4.71715"
"317-"	"4.71715"
"318+"	"5.60718"
"318-"	"5.60718"
"319+"	"1.15704"
"319-"	"1.15704"
"32+"	"1.03412"
"32-"	"1.03412"
"320+"	"1.55755"
"320-"	"1.55755"
"321+"	"2.18057"
"321-"	"2.18057"
"322+"	"4.00513"
"322-"	"4.00513"
"33+"	"1.11775"
"33-"	"1.11775"
"34+"	"1.0939"
"34-"	"1.0939"
"35+"	"0.944885"
"35-"	"0.944885"
"36+"	"1.1558"
"36-"	"1.1558"
"37+"	"0.875623"
"37-"	"0.875623"
"38+"	"1.04986"
"38-"	"1.04986"
"39+"	"1.05429"
"39-"	"1.05429"
"4+"	"1"
"4-"	"1"
"40+"	"1.09793"
"40-"	"1.09793"
"41+"	"0.920271"
"41-"	"0.920271"
"42+"	"1.1566"
"42-"	"1.1566"
"43+"	"0.990174"
"43-"	"0.990174"
"44+"	"1.08875"
"44-"	"1.08875"
"45+"	"1.15543"
"45-"	"1.15543"
"46+"	"0.948013"
"46-"	"0.948013"
"47+"	"0.839951"
"47-"	"0.839951"
"48+"	"0.9425"
"48-"	"0.9425"
"49+"	"0.831994"
"49-"	"0.831994"
"5+"	"1.03368"
"5-"	"1.03368"
"50+"	"0.867608"
"50-"	"0.867608"
"51+"	"1.04075"
"51-"	"1.04075"
"52+"	"1.05261"
"52-"	"1.05261"
"53+"	"0.867813"
"53-"	"0.867813"
"54+"	"1.08076"
"54-"	"1.08076"
"55+"	"1.24065"
"55-"	"1.24065"
"56+"	"1.11769"
"56-"	"1.11769"
"57+"	"1.01524"
"57-"	"1.01524"
"58+"	"0.855206"
"58-"	"0.855206"
"59+"	"1.03739"
"59-"	"1.03739"
"6+"	"1.02227"
"6-"	"1.02227"
"60+"	"1.11855"
"60-"	"1.11855"
"61+"	"0.888466"
"61-"	"0.888466"
"62+"	"1.98817"
"62-"	"1.98817"
"63+"	"1.18236"
"63-"	"1.18236"
"64+"	"1.04374"
"64-"	"1.04374"
"65+"	"1.1595"
"65-"	"1.1595"
"66+"	"1.09478"
"66-"	"1.09478"
"67+"	"0.78355"
"67-"	"0.78355"
"68+"	"1.03053"
"68-"	"1.03053"
"69+"	"8.38082"
"69-"	"8.38082"
"7+"	"1.19913"
"7-"	"1.19913"
"70+"	"1.13763"
"70-"	"1.13763"
"71+"	"0.782086"
"71-"	"0.782086"
"72+"	"0.974082"
"72-"	"0.974082"
"73+"	"1.22422"
"73-"	"1.22422"
"74+"	"1.12095"
"74-"	"1.12095"
"75+"	"0.780239"
"75-"	"0.780239"
"76+"	"0.876433"
"76-"	"0.876433"
"77+"	"1.00341"
"77-"	"1.00341"
"78+"	"0.957688"
"78-"	"0.957688"
"79+"	"1.78626"
"79-"	"1.78626"
"8+"	"0.957884"
"8-"	"0.957884"
"80+"	"1.18809"
"80-"	"1.18809"
"81+"	"0.949682"
"81-"	"0.949682"
"82+"	"1.03963"
"82-"	"1.03963"
"83+"	"0.930284"
"83-"	"0.930284"
"84+"	"0.950991"
"84-"	"0.950991"
"85+"	"1.19513"
"85-"	"1.19513"
"86+"	"0.947448"
"86-"	"0.947448"
"87+"	"1.87597"
"87-"	"1.87597"
"88+"	"1.07783"
"88-"	"1.07783"
"89+"	"1.07393"
"89-"	"1.07393"
"9+"	"0.914063"
"9-"	"0.914063"
"90+"	"1.24808"
"90-"	"1.24808"
"91+"	"1.15543"
"91-"	"1.15543"
"92+"	"0.8351"
"92-"	"0.8351"
"93+"	"8.22764"
"93-"	"8.22764"
"94+"	"1.30423"
"94-"	"1.30423"
"95+"	"0.793634"
"95-"	"0.793634"
"96+"	"0.933826"
"96-"	"0.933826"
"97+"	"0.936942"
"97-"	"0.936942"
"98+"	"0.721586"
"98-"	"0.721586"
"99+"	"0.921095"
"99-"	"0.921095"
