"Node"	"Coverage"
"1+"	"0.989168"
"1-"	"0.989168"
"10+"	"0.897139"
"10-"	"0.897139"
"100+"	"4.80259"
"100-"	"4.80259"
"101+"	"1.03909"
"101-"	"1.03909"
"102+"	"0.991741"
"102-"	"0.991741"
"103+"	"0.806276"
"103-"	"0.806276"
"104+"	"1.05259"
"104-"	"1.05259"
"105+"	"6.40144"
"105-"	"6.40144"
"106+"	"14.8711"
"106-"	"14.8711"
"107+"	"0.966063"
"107-"	"0.966063"
"108+"	"7.95992"
"108-"	"7.95992"
"109+"	"1.18837"
"109-"	"1.18837"
"11+"	"0.905515"
"11-"	"0.905515"
"110+"	"13.609"
"110-"	"13.609"
"111+"	"9.63126"
"111-"	"9.63126"
"112+"	"1.0704"
"112-"	"1.0704"
"113+"	"4.28131"
"113-"	"4.28131"
"114+"	"8.24255"
"114-"	"8.24255"
"115+"	"3.55853"
"115-"	"3.55853"
"116+"	"2.56442"
"116-"	"2.56442"
"117+"	"2.07383"
"117-"	"2.07383"
"118+"	"1.57676"
"118-"	"1.57676"
"119+"	"0.813321"
"119-"	"0.813321"
"12+"	"1.06166"
"12-"	"1.06166"
"120+"	"0.743044"
"120-"	"0.743044"
"121+"	"2.59724"
"121-"	"2.59724"
"122+"	"2.18097"
"122-"	"2.18097"
"123+"	"3.88173"
"123-"	"3.88173"
"124+"	"14.0693"
"124-"	"14.0693"
"125+"	"0.514476"
"125-"	"0.514476"
"126+"	"1.10351"
"126-"	"1.10351"
"127+"	"3.09552"
"127-"	"3.09552"
"128+"	"0.89867"
"128-"	"0.89867"
"129+"	"0.961355"
"129-"	"0.961355"
"13+"	"0.961524"
"13-"	"0.961524"
"130+"	"2.43904"
"130-"	"2.43904"
"131+"	"0.799201"
"131-"	"0.799201"
"132+"	"4.52019"
"132-"	"4.52019"
"133+"	"0.815769"
"133-"	"0.815769"
"134+"	"8.57048"
"134-"	"8.57048"
"135+"	"0.842821"
"135-"	"0.842821"
"136+"	"0.562151"
"136-"	"0.562151"
"137+"	"2.73939"
"137-"	"2.73939"
"138+"	"3.06667"
"138-"	"3.06667"
"139+"	"1.33036"
"139-"	"1.33036"
"14+"	"0.81806"
"14-"	"0.81806"
"140+"	"9.91656"
"140-"	"9.91656"
"141+"	"1.30703"
"141-"	"1.30703"
"142+"	"0.97629"
"142-"	"0.97629"
"143+"	"0.98406"
"143-"	"0.98406"
"144+"	"2.93809"
"144-"	"2.93809"
"145+"	"1.09868"
"145-"	"1.09868"
"146+"	"1.00077"
"146-"	"1.00077"
"147+"	"17.1016"
"147-"	"17.1016"
"148+"	"0.703216"
"148-"	"0.703216"
"149+"	"1.08586"
"149-"	"1.08586"
"15+"	"0.874368"
"15-"	"0.874368"
"150+"	"3.736"
"150-"	"3.736"
"151+"	"1.26731"
"151-"	"1.26731"
"152+"	"1.7645"
"152-"	"1.7645"
"153+"	"1.04366"
"153-"	"1.04366"
"154+"	"1.12291"
"154-"	"1.12291"
"155+"	"0.56701"
"155-"	"0.56701"
"156+"	"8.34544"
"156-"	"8.34544"
"157+"	"0.689549"
"157-"	"0.689549"
"158+"	"4.80175"
"158-"	"4.80175"
"159+"	"1.07034"
"159-"	"1.07034"
