Plasmid_A,17+,99-,101-,94+,50-
Plasmid_A,61+,93-,76-
Plasmid_A,40-,92+,28-,102+,82-,69+,62-,79+,83+,109-,29-
Plasmid_A,41+,74+,106-,76+,93+,61-,50+,94-,98+,34+,46-,25-
Plasmid_A,47+,105+,51-,44-,58+,62-,23+,69+
Plasmid_A,36+,46-,17+
Plasmid_B,24+,109+,83-,79-,62+,69-,82+,102-,38+,76+,93+,61-,50+,94-,101+,31+,92+,68+,79-,62+,69-,82+,102-
