"Node"	"Coverage"
"1+"	"1.10918"
"1-"	"1.10918"
"10+"	"1.08718"
"10-"	"1.08718"
"100+"	"1.1601"
"100-"	"1.1601"
"101+"	"5.60717"
"101-"	"5.60717"
"102+"	"2.90026"
"102-"	"2.90026"
"103+"	"6.6706"
"103-"	"6.6706"
"104+"	"2.22353"
"104-"	"2.22353"
"105+"	"7.0573"
"105-"	"7.0573"
"106+"	"4.06036"
"106-"	"4.06036"
"107+"	"5.80052"
"107-"	"5.80052"
"108+"	"3.19029"
"108-"	"3.19029"
"109+"	"2.41688"
"109-"	"2.41688"
"11+"	"0.885133"
"11-"	"0.885133"
"12+"	"1"
"12-"	"1"
"13+"	"1.126"
"13-"	"1.126"
"14+"	"0.964886"
"14-"	"0.964886"
"15+"	"1.07116"
"15-"	"1.07116"
"16+"	"1.20273"
"16-"	"1.20273"
"17+"	"0.907436"
"17-"	"0.907436"
"18+"	"0.901358"
"18-"	"0.901358"
"19+"	"1.01452"
"19-"	"1.01452"
"2+"	"0.848447"
"2-"	"0.848447"
"20+"	"1.01596"
"20-"	"1.01596"
"21+"	"0.944121"
"21-"	"0.944121"
"22+"	"0.975831"
"22-"	"0.975831"
"23+"	"0.964239"
"23-"	"0.964239"
"24+"	"1.44471"
"24-"	"1.44471"
"25+"	"0.945696"
"25-"	"0.945696"
"26+"	"1.12001"
"26-"	"1.12001"
"27+"	"1.03464"
"27-"	"1.03464"
"28+"	"0.858693"
"28-"	"0.858693"
"29+"	"1.04731"
"29-"	"1.04731"
"3+"	"0.959593"
"3-"	"0.959593"
"30+"	"0.933717"
"30-"	"0.933717"
"31+"	"1.42029"
"31-"	"1.42029"
"32+"	"1.27329"
"32-"	"1.27329"
"33+"	"0.983633"
"33-"	"0.983633"
"34+"	"1.10275"
"34-"	"1.10275"
"35+"	"8.00452"
"35-"	"8.00452"
"36+"	"1.09579"
"36-"	"1.09579"
"37+"	"1.60097"
"37-"	"1.60097"
"38+"	"1.49862"
"38-"	"1.49862"
"39+"	"1.0487"
"39-"	"1.0487"
"4+"	"1.02011"
"4-"	"1.02011"
"40+"	"0.967082"
"40-"	"0.967082"
"41+"	"2.15381"
"41-"	"2.15381"
"42+"	"7.78976"
"42-"	"7.78976"
"43+"	"1.27535"
"43-"	"1.27535"
"44+"	"1.7933"
"44-"	"1.7933"
"45+"	"2.08287"
"45-"	"2.08287"
"46+"	"2.27327"
"46-"	"2.27327"
"47+"	"3.43001"
"47-"	"3.43001"
"48+"	"6.06462"
"48-"	"6.06462"
"49+"	"0.649902"
"49-"	"0.649902"
"5+"	"0.877473"
"5-"	"0.877473"
"50+"	"7.19471"
"50-"	"7.19471"
"51+"	"0.954868"
"51-"	"0.954868"
"52+"	"0.774334"
"52-"	"0.774334"
"53+"	"1.32582"
"53-"	"1.32582"
"54+"	"2.51705"
"54-"	"2.51705"
"55+"	"1.94923"
"55-"	"1.94923"
"56+"	"1.22625"
"56-"	"1.22625"
"57+"	"1.12788"
"57-"	"1.12788"
"58+"	"0.848547"
"58-"	"0.848547"
"59+"	"6.27931"
"59-"	"6.27931"
"6+"	"1.0658"
"6-"	"1.0658"
"60+"	"2.09226"
"60-"	"2.09226"
"61+"	"1.25195"
"61-"	"1.25195"
"62+"	"5.71033"
"62-"	"5.71033"
"63+"	"1.43092"
"63-"	"1.43092"
"64+"	"2.73518"
"64-"	"2.73518"
"65+"	"1.70519"
"65-"	"1.70519"
"66+"	"1.6629"
"66-"	"1.6629"
"67+"	"0.772953"
"67-"	"0.772953"
"68+"	"1.33994"
"68-"	"1.33994"
"69+"	"6.68801"
"69-"	"6.68801"
"7+"	"1.05283"
"7-"	"1.05283"
"70+"	"2.87307"
"70-"	"2.87307"
"71+"	"4.06549"
"71-"	"4.06549"
"72+"	"1.49016"
"72-"	"1.49016"
"73+"	"1.19512"
"73-"	"1.19512"
"74+"	"1.05278"
"74-"	"1.05278"
"75+"	"1.50691"
"75-"	"1.50691"
"76+"	"7.10886"
"76-"	"7.10886"
"77+"	"2.98762"
"77-"	"2.98762"
"78+"	"0.859483"
"78-"	"0.859483"
"79+"	"4.70889"
"79-"	"4.70889"
"8+"	"0.989395"
"8-"	"0.989395"
"80+"	"5.2014"
"80-"	"5.2014"
"81+"	"1.66224"
"81-"	"1.66224"
"82+"	"4.12897"
"82-"	"4.12897"
"83+"	"3.23945"
"83-"	"3.23945"
"84+"	"2.79511"
"84-"	"2.79511"
"85+"	"4.76989"
"85-"	"4.76989"
"86+"	"5.05501"
"86-"	"5.05501"
"87+"	"1.46274"
"87-"	"1.46274"
"88+"	"3.74272"
"88-"	"3.74272"
"89+"	"2.15908"
"89-"	"2.15908"
"9+"	"0.901165"
"9-"	"0.901165"
"90+"	"5.82771"
"90-"	"5.82771"
"91+"	"3.45225"
"91-"	"3.45225"
"92+"	"3.33852"
"92-"	"3.33852"
"93+"	"7.66152"
"93-"	"7.66152"
"94+"	"9.7122"
"94-"	"9.7122"
"95+"	"4.20747"
"95-"	"4.20747"
"96+"	"0.764614"
"96-"	"0.764614"
"97+"	"4.36006"
"97-"	"4.36006"
"98+"	"5.51049"
"98-"	"5.51049"
"99+"	"2.90026"
"99-"	"2.90026"
